,name,track_id,artists,album_name,date_added,images,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
2463,TKO (feat. Rye Rye & Zion I),2DwN99S3TxwTm8MVhajiR2,"['Bassnectar', 'Rye Rye', 'Zion I']",Unlimited,2020-05-21T17:42:45Z,"['https://i.scdn.co/image/ab67616d0000b27338f3ec43683dc0c04d64d5a9', 'https://i.scdn.co/image/ab67616d00001e0238f3ec43683dc0c04d64d5a9', 'https://i.scdn.co/image/ab67616d0000485138f3ec43683dc0c04d64d5a9']",2DwN99S3TxwTm8MVhajiR2,0.545,0.995,7,-1.913,1,0.237,0.00542,0.0943,0.0939,0.448,88.008,158352,4
2464,Uebok Gotta Run - Bassnectar Remix,17Wt6jPPZWVapkVyj6euUI,"['Apashe', 'INSTASAMKA', 'Bassnectar']",All Colors (Preview 2),2020-05-24T22:54:40Z,"['https://i.scdn.co/image/ab67616d0000b27360195c1ff17082253ced2acb', 'https://i.scdn.co/image/ab67616d00001e0260195c1ff17082253ced2acb', 'https://i.scdn.co/image/ab67616d0000485160195c1ff17082253ced2acb']",17Wt6jPPZWVapkVyj6euUI,0.526,0.889,10,-1.875,0,0.046,0.0143,0.0165,0.177,0.45,159.979,202500,4
2465,Uebok Gotta Run - Bassnectar Remix,17Wt6jPPZWVapkVyj6euUI,"['Apashe', 'INSTASAMKA', 'Bassnectar']",All Colors (Preview 2),2020-05-24T22:54:40Z,"['https://i.scdn.co/image/ab67616d0000b27360195c1ff17082253ced2acb', 'https://i.scdn.co/image/ab67616d00001e0260195c1ff17082253ced2acb', 'https://i.scdn.co/image/ab67616d0000485160195c1ff17082253ced2acb']",17Wt6jPPZWVapkVyj6euUI,0.526,0.889,10,-1.875,0,0.046,0.0143,0.0165,0.177,0.45,159.979,202500,4
2466,Brains Escape (feat. Simon),7dUmKHgFRCgau0S5fAONnT,"['Ganja White Night', 'Simon Danhier']",Mystic Herbalist,2020-05-27T16:52:41Z,"['https://i.scdn.co/image/ab67616d0000b273ab41cc262badda2ca21d5689', 'https://i.scdn.co/image/ab67616d00001e02ab41cc262badda2ca21d5689', 'https://i.scdn.co/image/ab67616d00004851ab41cc262badda2ca21d5689']",7dUmKHgFRCgau0S5fAONnT,0.742,0.657,2,-6.25,0,0.213,0.211,0.000761,0.0917,0.748,89.999,386175,4
2467,Brains Escape (feat. Simon),7dUmKHgFRCgau0S5fAONnT,"['Ganja White Night', 'Simon Danhier']",Mystic Herbalist,2020-05-27T16:52:41Z,"['https://i.scdn.co/image/ab67616d0000b273ab41cc262badda2ca21d5689', 'https://i.scdn.co/image/ab67616d00001e02ab41cc262badda2ca21d5689', 'https://i.scdn.co/image/ab67616d00004851ab41cc262badda2ca21d5689']",7dUmKHgFRCgau0S5fAONnT,0.742,0.657,2,-6.25,0,0.213,0.211,0.000761,0.0917,0.748,89.999,386175,4
2468,Let The Boy Live,7gpTobHWdOSyyoHAxobVkf,['Mouthe'],NUVO,2020-05-27T16:54:39Z,"['https://i.scdn.co/image/ab67616d0000b273b6be1c725960f28bd6ceec51', 'https://i.scdn.co/image/ab67616d00001e02b6be1c725960f28bd6ceec51', 'https://i.scdn.co/image/ab67616d00004851b6be1c725960f28bd6ceec51']",7gpTobHWdOSyyoHAxobVkf,0.683,0.626,2,-6.316,0,0.233,0.133,8.61e-06,0.278,0.352,81.965,193171,4
2469,Complicated,2GgG5EVjKccjAwCDJM0ogG,['Mac Miller'],Circles (Deluxe),2020-06-04T15:55:16Z,"['https://i.scdn.co/image/ab67616d0000b2738cbe65eb023c2f2b5cdf5a91', 'https://i.scdn.co/image/ab67616d00001e028cbe65eb023c2f2b5cdf5a91', 'https://i.scdn.co/image/ab67616d000048518cbe65eb023c2f2b5cdf5a91']",2GgG5EVjKccjAwCDJM0ogG,0.831,0.36,0,-8.073,1,0.052,0.136,0.00217,0.0703,0.601,75.014,232212,4
2470,Complicated,2GgG5EVjKccjAwCDJM0ogG,['Mac Miller'],Circles (Deluxe),2020-06-04T15:55:16Z,"['https://i.scdn.co/image/ab67616d0000b2738cbe65eb023c2f2b5cdf5a91', 'https://i.scdn.co/image/ab67616d00001e028cbe65eb023c2f2b5cdf5a91', 'https://i.scdn.co/image/ab67616d000048518cbe65eb023c2f2b5cdf5a91']",2GgG5EVjKccjAwCDJM0ogG,0.831,0.36,0,-8.073,1,0.052,0.136,0.00217,0.0703,0.601,75.014,232212,4
2471,Good News,5rhMc6IqSdVsyF7bRieSTc,['Mac Miller'],Circles (Deluxe),2020-06-04T16:03:42Z,"['https://i.scdn.co/image/ab67616d0000b2738cbe65eb023c2f2b5cdf5a91', 'https://i.scdn.co/image/ab67616d00001e028cbe65eb023c2f2b5cdf5a91', 'https://i.scdn.co/image/ab67616d000048518cbe65eb023c2f2b5cdf5a91']",5rhMc6IqSdVsyF7bRieSTc,0.794,0.32,1,-12.92,0,0.173,0.853,0.134,0.112,0.241,174.088,342040,4
2472,Woods,0SyY4pnirW6dDPMe32izRb,['Mac Miller'],Circles (Deluxe),2020-06-04T16:17:22Z,"['https://i.scdn.co/image/ab67616d0000b2738cbe65eb023c2f2b5cdf5a91', 'https://i.scdn.co/image/ab67616d00001e028cbe65eb023c2f2b5cdf5a91', 'https://i.scdn.co/image/ab67616d000048518cbe65eb023c2f2b5cdf5a91']",0SyY4pnirW6dDPMe32izRb,0.779,0.362,0,-10.847,1,0.0474,0.135,0.206,0.111,0.46,85.011,286387,4
2473,Hand Me Downs,1YIy56OJyVpuzoTQYiqkpg,['Mac Miller'],Circles (Deluxe),2020-06-04T16:24:08Z,"['https://i.scdn.co/image/ab67616d0000b2738cbe65eb023c2f2b5cdf5a91', 'https://i.scdn.co/image/ab67616d00001e028cbe65eb023c2f2b5cdf5a91', 'https://i.scdn.co/image/ab67616d000048518cbe65eb023c2f2b5cdf5a91']",1YIy56OJyVpuzoTQYiqkpg,0.677,0.33,2,-11.198,1,0.149,0.474,0.000871,0.064,0.336,68.985,298440,4
2474,Hand Me Downs,1YIy56OJyVpuzoTQYiqkpg,['Mac Miller'],Circles (Deluxe),2020-06-04T16:24:08Z,"['https://i.scdn.co/image/ab67616d0000b2738cbe65eb023c2f2b5cdf5a91', 'https://i.scdn.co/image/ab67616d00001e028cbe65eb023c2f2b5cdf5a91', 'https://i.scdn.co/image/ab67616d000048518cbe65eb023c2f2b5cdf5a91']",1YIy56OJyVpuzoTQYiqkpg,0.677,0.33,2,-11.198,1,0.149,0.474,0.000871,0.064,0.336,68.985,298440,4
2475,That's On Me,3hCM4lvTf8q0z4R4WXDnb0,['Mac Miller'],Circles (Deluxe),2020-06-04T16:56:44Z,"['https://i.scdn.co/image/ab67616d0000b2738cbe65eb023c2f2b5cdf5a91', 'https://i.scdn.co/image/ab67616d00001e028cbe65eb023c2f2b5cdf5a91', 'https://i.scdn.co/image/ab67616d000048518cbe65eb023c2f2b5cdf5a91']",3hCM4lvTf8q0z4R4WXDnb0,0.583,0.499,10,-10.086,1,0.0261,0.591,0.0104,0.33,0.342,155.199,217868,3
2476,FEEL.,2LTlO3NuNVN70lp2ZbVswF,['Kendrick Lamar'],DAMN.,2020-06-04T17:31:09Z,"['https://i.scdn.co/image/ab67616d0000b2738b52c6b9bc4e43d873869699', 'https://i.scdn.co/image/ab67616d00001e028b52c6b9bc4e43d873869699', 'https://i.scdn.co/image/ab67616d000048518b52c6b9bc4e43d873869699']",2LTlO3NuNVN70lp2ZbVswF,0.746,0.798,0,-8.382,1,0.349,0.137,0.0,0.139,0.553,109.968,214827,4
2477,Life Round Here,0fq2N4qK5B4mDuVx9FTpkc,"['James Blake', 'Chance the Rapper']",Life Round Here,2020-06-07T20:24:42Z,"['https://i.scdn.co/image/ab67616d0000b273ee51c74893d4c0ed22fb7303', 'https://i.scdn.co/image/ab67616d00001e02ee51c74893d4c0ed22fb7303', 'https://i.scdn.co/image/ab67616d00004851ee51c74893d4c0ed22fb7303']",0fq2N4qK5B4mDuVx9FTpkc,0.429,0.747,10,-6.237,0,0.239,0.669,0.076,0.122,0.272,144.609,188713,4
2478,Everybody,1OuN92HcVG6NVpWbeESNB3,['Mac Miller'],Circles,2020-06-23T02:17:38Z,"['https://i.scdn.co/image/ab67616d0000b27326b7dd89810cc1a40ada642c', 'https://i.scdn.co/image/ab67616d00001e0226b7dd89810cc1a40ada642c', 'https://i.scdn.co/image/ab67616d0000485126b7dd89810cc1a40ada642c']",1OuN92HcVG6NVpWbeESNB3,0.875,0.599,9,-9.077,0,0.138,0.0333,0.0143,0.113,0.112,152.061,256507,4
2479,Everybody,1OuN92HcVG6NVpWbeESNB3,['Mac Miller'],Circles,2020-06-23T02:17:38Z,"['https://i.scdn.co/image/ab67616d0000b27326b7dd89810cc1a40ada642c', 'https://i.scdn.co/image/ab67616d00001e0226b7dd89810cc1a40ada642c', 'https://i.scdn.co/image/ab67616d0000485126b7dd89810cc1a40ada642c']",1OuN92HcVG6NVpWbeESNB3,0.875,0.599,9,-9.077,0,0.138,0.0333,0.0143,0.113,0.112,152.061,256507,4
2480,Sunday Candy,6fTdcGsjxlAD9PSkoPaLMX,['Donnie Trumpet & The Social Experiment'],Surf,2020-06-23T02:17:41Z,"['https://i.scdn.co/image/ab67616d0000b27342bf3f893586a144871b35a8', 'https://i.scdn.co/image/ab67616d00001e0242bf3f893586a144871b35a8', 'https://i.scdn.co/image/ab67616d0000485142bf3f893586a144871b35a8']",6fTdcGsjxlAD9PSkoPaLMX,0.511,0.596,0,-6.56,1,0.224,0.53,0.0,0.0798,0.554,158.063,226014,4
2481,Sunday Candy,6fTdcGsjxlAD9PSkoPaLMX,['Donnie Trumpet & The Social Experiment'],Surf,2020-06-23T02:17:41Z,"['https://i.scdn.co/image/ab67616d0000b27342bf3f893586a144871b35a8', 'https://i.scdn.co/image/ab67616d00001e0242bf3f893586a144871b35a8', 'https://i.scdn.co/image/ab67616d0000485142bf3f893586a144871b35a8']",6fTdcGsjxlAD9PSkoPaLMX,0.511,0.596,0,-6.56,1,0.224,0.53,0.0,0.0798,0.554,158.063,226014,4
2482,Nikes on My Feet,4Hq1q82uvzNxUYmgBOxPco,['Mac Miller'],Nikes on My Feet,2020-06-23T03:56:54Z,"['https://i.scdn.co/image/ab67616d0000b273e6fe0b81a02631b2b2f5b723', 'https://i.scdn.co/image/ab67616d00001e02e6fe0b81a02631b2b2f5b723', 'https://i.scdn.co/image/ab67616d00004851e6fe0b81a02631b2b2f5b723']",4Hq1q82uvzNxUYmgBOxPco,0.823,0.438,9,-8.728,0,0.279,0.537,0.0,0.105,0.59,92.047,164411,4
2483,Nights,7eqoqGkKwgOaWNNHx90uEZ,['Frank Ocean'],Blonde,2020-06-25T14:57:44Z,"['https://i.scdn.co/image/ab67616d0000b273c5649add07ed3720be9d5526', 'https://i.scdn.co/image/ab67616d00001e02c5649add07ed3720be9d5526', 'https://i.scdn.co/image/ab67616d00004851c5649add07ed3720be9d5526']",7eqoqGkKwgOaWNNHx90uEZ,0.466,0.548,5,-9.362,0,0.118,0.42,1.01e-06,0.113,0.423,89.815,307151,4
2484,Nights,7eqoqGkKwgOaWNNHx90uEZ,['Frank Ocean'],Blonde,2020-06-25T14:57:44Z,"['https://i.scdn.co/image/ab67616d0000b273c5649add07ed3720be9d5526', 'https://i.scdn.co/image/ab67616d00001e02c5649add07ed3720be9d5526', 'https://i.scdn.co/image/ab67616d00004851c5649add07ed3720be9d5526']",7eqoqGkKwgOaWNNHx90uEZ,0.466,0.548,5,-9.362,0,0.118,0.42,1.01e-06,0.113,0.423,89.815,307151,4
